generation	repeats	mean	best	mutation rate
583	400	6,646	20,940	0,10000
584	402	6,668	17,614	0,10000
585	403	6,640	20,507	0,10000
586	400	6,644	20,509	0,10000
587	402	6,654	17,567	0,10000
588	401	6,670	19,540	0,10000
589	401	6,635	20,091	0,10000
590	402	6,649	18,614	0,10000
591	405	6,649	18,614	0,10000
592	403	6,632	20,655	0,10000
593	400	6,596	20,685	0,10000
594	403	6,580	19,558	0,10000
595	403	6,558	19,013	0,10000
596	400	6,549	16,561	0,10000
597	401	6,547	16,685	0,10000
598	402	6,558	20,120	0,10000
599	400	6,606	20,864	0,10000
600	402	6,622	20,949	0,10000
601	401	6,617	17,667	0,10000
602	402	6,610	16,949	0,10000
603	400	6,584	18,006	0,10000
604	402	6,599	18,380	0,10000
605	401	6,549	18,687	0,10000
606	400	6,515	17,393	0,10000
607	402	6,518	17,663	0,10000
608	401	6,517	17,870	0,10000
609	401	6,536	18,743	0,10000
610	403	6,547	19,311	0,10000
611	401	6,526	17,252	0,10000
612	401	6,520	17,441	0,10000
613	402	6,522	18,230	0,10000
614	401	6,484	19,203	0,10000
615	403	6,493	18,868	0,10000
616	400	6,510	18,709	0,10000
617	404	6,532	19,097	0,10000
618	404	6,532	19,028	0,10000
619	402	6,508	18,282	0,10000
620	403	6,541	17,335	0,10000
621	402	6,557	17,525	0,10000
622	402	6,568	18,309	0,10000
623	401	6,589	16,783	0,10000
624	401	6,579	16,958	0,10000
625	401	6,535	18,078	0,10000
626	401	6,546	18,653	0,10000
627	401	6,571	17,878	0,10000
628	403	6,581	20,259	0,10000
629	401	6,555	17,835	0,10000
630	402	6,561	19,155	0,10000
631	400	6,551	17,828	0,10000
632	401	6,583	18,886	0,10000
633	401	6,628	18,381	0,10000
634	405	6,616	18,896	0,10000
635	400	6,608	18,515	0,10000
636	402	6,575	18,515	0,10000
637	402	6,538	18,438	0,10000
638	402	6,550	16,953	0,10000
639	400	6,564	20,467	0,10000
640	401	6,565	20,924	0,10000
641	403	6,582	21,046	0,10000
642	401	6,567	19,459	0,10000
643	403	6,567	17,255	0,10000
644	403	6,597	19,052	0,10000
645	402	6,559	18,081	0,10000
646	404	6,566	18,789	0,10000
647	402	6,561	19,543	0,10000
648	400	6,587	21,322	0,10000
649	402	6,615	19,376	0,10000
650	401	6,633	19,820	0,10000
651	401	6,618	20,952	0,10000
652	404	6,580	20,751	0,10000
653	400	6,563	21,344	0,10000
654	406	6,565	20,822	0,10000
655	402	6,571	20,910	0,10000
656	401	6,617	21,508	0,10000
657	401	6,617	21,989	0,10000
658	400	6,626	22,081	0,10000
659	401	6,611	17,301	0,10000
660	402	6,622	19,142	0,10000
661	402	6,623	18,936	0,10000
662	403	6,629	20,373	0,10000
663	401	6,600	17,579	0,10000
664	402	6,641	22,150	0,10000
665	401	6,611	20,105	0,10000
666	402	6,616	21,320	0,10000
667	402	6,659	20,794	0,10000
668	404	6,701	19,571	0,10000
669	402	6,625	17,973	0,10000
670	403	6,571	18,798	0,10000
671	400	6,514	17,377	0,10000
672	403	6,544	17,667	0,10000
673	400	6,540	18,378	0,10000
674	402	6,575	20,851	0,10000
675	402	6,565	18,993	0,10000
676	402	6,558	19,216	0,10000
677	400	6,563	18,540	0,10000
678	402	6,568	19,286	0,10000
679	403	6,539	17,363	0,10000
680	404	6,562	19,234	0,10000
681	401	6,608	19,348	0,10000
682	402	6,588	19,260	0,10000
683	404	6,611	18,291	0,10000
684	400	6,576	18,681	0,10000
685	403	6,644	17,889	0,10000
686	401	6,602	17,678	0,10000
687	401	6,636	19,229	0,10000
688	402	6,621	19,064	0,10000
689	400	6,590	19,300	0,10000
690	401	6,591	17,917	0,10000
691	400	6,575	17,977	0,10000
692	401	6,598	17,948	0,10000
693	400	6,567	19,339	0,10000
694	402	6,545	16,400	0,10000
695	403	6,546	18,376	0,10000
696	403	6,587	18,382	0,10000
697	401	6,562	17,999	0,10000
698	401	6,594	18,124	0,10000
699	401	6,582	18,903	0,10000
700	401	6,604	19,375	0,10000
701	402	6,650	19,319	0,10000
702	402	6,617	19,921	0,10000
703	400	6,614	18,623	0,10000
704	403	6,577	20,107	0,10000
705	400	6,581	19,038	0,10000
706	400	6,597	20,139	0,10000
707	403	6,590	19,244	0,10000
708	402	6,571	17,608	0,10000
709	402	6,610	18,991	0,10000
710	401	6,588	19,669	0,10000
711	402	6,559	18,451	0,10000
712	403	6,577	18,006	0,10000
713	400	6,600	19,195	0,10000
714	402	6,594	19,506	0,10000
715	404	6,592	18,011	0,10000
716	402	6,540	18,549	0,10000
717	400	6,542	18,355	0,10000
718	402	6,539	17,860	0,10000
719	402	6,550	19,859	0,10000
720	403	6,570	18,750	0,10000
721	401	6,534	19,143	0,10000
722	401	6,526	18,565	0,10000
723	401	6,507	18,109	0,10000
724	401	6,544	17,785	0,10000
725	402	6,533	19,959	0,10000
726	403	6,545	19,945	0,10000
727	402	6,540	18,140	0,10000
728	402	6,527	19,329	0,10000
